ID_Venta,Fecha,ID_Cliente,ID_Producto,Cantidad,Canal_Venta
1076,2025-05-08,C093,P15,2,Sitio Web
1077,2026-06-04,C040,P11,3,Sitio Web
1078,2025-12-01,C052,P12,1,Sitio Web
1079,2026-07-22,C017,P04,1,Sitio Web
1080,2026-01-24,C087,P12,1,Tienda Física
1081,2026-08-06,C039,P07,3,Distribuidor
1082,2025-01-01,C039,P05,2,Tienda Física
1083,2026-03-17,C101,P10,1,Distribuidor
1084,2025-11-26,C060,P08,1,Sitio Web
1085,2025-08-07,C066,P08,1,Distribuidor
1086,2025-06-23,C085,P02,1,Sitio Web
1087,2026-06-12,C085,P11,2,Distribuidor
1088,2025-12-10,C012,P14,2,Tienda Física
1089,2025-11-14,C029,P13,3,Tienda Física
1090,2025-05-31,C004,P01,1,Tienda Física
1091,2026-05-02,C079,P14,1,Tienda Física
1092,2026-04-12,C054,P15,2,Distribuidor
1093,2026-08-13,C025,P12,3,Distribuidor
1094,2026-01-29,C064,P07,2,Tienda Física
1095,2025-06-01,C084,P12,3,Tienda Física
1096,2025-04-20,C100,P07,1,Tienda Física
1097,2025-06-30,C103,P12,2,Distribuidor
1098,2026-04-21,C007,P09,1,Tienda Física
1099,2025-05-05,C059,P03,1,Sitio Web
1100,2026-06-28,C072,P10,1,Sitio Web
1101,2026-03-30,C079,P14,1,Distribuidor
1102,2026-06-01,C055,P14,2,Distribuidor
1103,2026-04-02,C115,P03,1,Distribuidor
1104,2026-05-02,C058,P05,2,Tienda Física
1105,2025-10-11,C099,P13,4,Distribuidor
1106,2026-05-12,C081,P04,1,Sitio Web
1107,2026-03-27,C010,P12,1,Sitio Web
1108,2025-08-29,C035,P06,3,Sitio Web
1109,2026-07-08,C011,P03,1,Tienda Física
1110,2025-08-25,C050,P12,1,Tienda Física
1111,2025-08-08,C009,P07,1,Sitio Web
1112,2025-12-05,C070,P08,1,Sitio Web
1113,2025-03-05,C027,P14,4,Sitio Web
1114,2026-02-03,C116,P13,3,Distribuidor
1115,2025-01-21,C110,P15,2,Distribuidor
1116,2026-01-25,C062,P01,3,Sitio Web
1117,2025-11-02,C097,P07,3,Sitio Web
1118,2026-07-06,C096,P12,1,Distribuidor
1119,2025-08-14,C063,P04,3,Sitio Web
1120,2026-03-23,C063,P01,2,Sitio Web
1121,2025-12-11,C086,P11,3,Sitio Web
1122,2025-06-19,C108,P08,3,Tienda Física
1123,2026-07-01,C004,P15,1,Sitio Web
1124,2026-08-01,C085,P01,1,Tienda Física
1125,2026-03-15,C018,P14,1,Sitio Web
1126,2025-07-06,C007,P05,1,Sitio Web
1127,2025-12-02,C028,P08,3,Sitio Web
1128,2025-12-12,C098,P15,3,Sitio Web
1129,2025-10-12,C097,P14,1,Sitio Web
1130,2025-09-16,C107,P02,2,Sitio Web
1131,2025-01-20,C096,P09,1,Tienda Física
1132,2025-12-25,C029,P11,1,Tienda Física
1133,2025-02-11,C097,P01,1,Tienda Física
1134,2025-07-24,C108,P01,1,Distribuidor
1135,2025-06-06,C031,P03,4,Sitio Web
1136,2025-04-28,C073,P04,1,Sitio Web
1137,2025-09-20,C099,P06,2,Tienda Física
1138,2025-04-28,C100,P14,2,Tienda Física
1139,2025-11-15,C014,P10,1,Tienda Física
1140,2025-11-16,C074,P11,5,Sitio Web
1141,2026-02-11,C092,P04,4,Tienda Física
1142,2025-09-06,C014,P12,1,Sitio Web
1143,2025-05-04,C102,P10,1,Tienda Física
1144,2025-12-22,C069,P07,1,Distribuidor
1145,2026-01-15,C009,P09,1,Distribuidor
1146,2025-12-16,C002,P14,1,Sitio Web
1147,2026-05-17,C014,P07,2,Sitio Web
1148,2026-04-16,C091,P03,2,Sitio Web
1149,2025-06-30,C094,P09,1,Distribuidor
1150,2025-10-04,C079,P13,1,Distribuidor
1151,2026-05-11,C060,P07,4,Distribuidor
1152,2025-10-02,C042,P14,1,Tienda Física
1153,2025-03-30,C036,P15,1,Sitio Web
1154,2025-09-07,C097,P08,1,Distribuidor
1155,2026-01-24,C044,P01,5,Sitio Web
1156,2025-11-29,C024,P08,1,Tienda Física
1157,2025-12-30,C103,P05,2,Sitio Web
1158,2025-10-14,C113,P10,3,Distribuidor
1159,2025-10-10,C072,P01,1,Distribuidor
1160,2025-07-15,C011,P04,2,Distribuidor
1161,2026-02-21,C063,P09,1,Tienda Física
1162,2026-05-03,C083,P12,2,Sitio Web
1163,2026-04-04,C102,P01,2,Tienda Física
1164,2025-10-29,C029,P07,2,Distribuidor
1165,2025-09-07,C040,P11,1,Distribuidor
1166,2026-01-13,C061,P09,3,Distribuidor
1167,2025-12-19,C055,P12,1,Distribuidor
1168,2025-12-05,C046,P12,1,Sitio Web
1169,2025-10-05,C040,P05,1,Tienda Física
1170,2025-05-04,C093,P04,2,Sitio Web
1171,2025-05-03,C096,P09,2,Distribuidor
1172,2025-07-09,C025,P04,1,Distribuidor
1173,2026-05-11,C036,P12,2,Distribuidor
1174,2026-06-22,C077,P05,1,Tienda Física
1175,2025-07-18,C038,P04,2,Sitio Web
1176,2025-07-03,C039,P01,1,Distribuidor
1177,2026-07-01,C017,P05,2,Tienda Física
1178,2025-02-25,C071,P05,1,Distribuidor
1179,2025-05-10,C082,P14,4,Sitio Web
1180,2025-04-16,C112,P01,1,Distribuidor
1181,2025-10-19,C061,P08,1,Sitio Web
1182,2025-12-15,C024,P01,1,Sitio Web
1183,2026-05-05,C015,P14,4,Tienda Física
1184,2026-02-15,C063,P02,3,Distribuidor
1185,2025-02-24,C020,P03,1,Distribuidor
1186,2025-11-08,C011,P04,2,Tienda Física
1187,2026-07-26,C098,P07,3,Distribuidor
1188,2025-08-20,C100,P09,2,Sitio Web
1189,2026-04-07,C117,P08,2,Sitio Web
1190,2026-03-16,C040,P10,1,Distribuidor
1191,2025-03-03,C079,P12,1,Tienda Física
1192,2025-08-01,C081,P04,3,Sitio Web
1193,2025-03-25,C021,P04,4,Tienda Física
1194,2026-07-20,C010,P03,2,Tienda Física
1195,2026-02-23,C058,P12,1,Distribuidor
1196,2026-04-27,C038,P01,1,Tienda Física
1197,2025-10-23,C091,P05,2,Distribuidor
1198,2026-04-10,C010,P11,3,Tienda Física
1199,2025-09-28,C101,P13,3,Distribuidor
1200,2025-07-22,C055,P02,3,Distribuidor
1201,2025-08-19,C083,P03,2,Sitio Web
1202,2025-05-26,C010,P01,1,Tienda Física
1203,2025-11-11,C077,P12,1,Distribuidor
1204,2025-10-23,C057,P02,3,Sitio Web
1205,2025-11-08,C090,P07,2,Sitio Web
1206,2026-05-28,C070,P08,1,Sitio Web
1207,2025-03-24,C077,P01,1,Sitio Web
1208,2025-11-27,C078,P05,2,Tienda Física
1209,2025-04-04,C030,P11,1,Distribuidor
1210,2025-01-22,C098,P11,1,Sitio Web
1211,2026-08-14,C006,P13,2,Tienda Física
1212,2026-04-27,C067,P11,2,Sitio Web
1213,2025-10-12,C024,P10,2,Sitio Web
1214,2026-05-19,C012,P08,1,Sitio Web
1215,2026-02-23,C043,P06,2,Distribuidor
1216,2025-04-18,C110,P03,1,Sitio Web
1217,2026-02-26,C089,P08,1,Sitio Web
1218,2026-02-15,C105,P13,2,Distribuidor
1219,2025-02-07,C059,P02,2,Sitio Web
1220,2025-09-16,C042,P02,3,Sitio Web
1221,2026-06-11,C106,P01,2,Distribuidor
1222,2026-07-10,C060,P07,2,Tienda Física
1223,2025-07-12,C067,P06,1,Distribuidor
1224,2026-05-26,C081,P08,1,Tienda Física
1225,2025-07-28,C035,P09,1,Tienda Física
1226,2025-10-22,C057,P15,1,Distribuidor
1227,2026-05-12,C016,P01,5,Distribuidor
1228,2025-09-03,C091,P03,1,Sitio Web
1229,2026-07-19,C002,P09,3,Sitio Web
1230,2025-04-06,C029,P14,2,Tienda Física
1231,2026-04-18,C016,P11,3,Tienda Física
1232,2026-05-26,C120,P12,2,Sitio Web
1233,2026-06-06,C091,P05,2,Sitio Web
1234,2026-05-10,C061,P04,1,Sitio Web
1235,2026-07-19,C019,P07,1,Tienda Física
1236,2026-06-05,C096,P15,2,Tienda Física
1237,2025-03-13,C036,P13,1,Sitio Web
1238,2025-12-15,C120,P13,1,Distribuidor
1239,2025-10-01,C106,P01,2,Sitio Web
1240,2025-11-02,C108,P10,1,Distribuidor
1241,2026-05-17,C111,P03,4,Sitio Web
1242,2026-07-06,C062,P06,4,Sitio Web
1243,2026-07-20,C098,P09,4,Sitio Web
1244,2026-04-12,C120,P06,1,Tienda Física
1245,2025-09-02,C074,P07,1,Tienda Física
1246,2026-02-25,C006,P06,4,Distribuidor
1247,2026-04-30,C091,P15,1,Sitio Web
1248,2026-01-31,C085,P13,4,Distribuidor
1249,2025-06-05,C064,P01,4,Tienda Física
1250,2026-05-30,C076,P06,3,Tienda Física
1251,2026-03-27,C013,P09,1,Sitio Web
1252,2025-01-16,C093,P03,1,Sitio Web
1253,2025-06-08,C010,P08,3,Sitio Web
1254,2025-12-13,C080,P12,1,Sitio Web
1255,2025-03-24,C110,P06,1,Distribuidor
1256,2026-07-01,C049,P06,2,Distribuidor
1257,2026-05-15,C112,P09,4,Tienda Física
1258,2025-03-12,C031,P11,2,Distribuidor
1259,2025-10-22,C030,P12,2,Tienda Física
1260,2026-03-21,C013,P13,1,Distribuidor
1261,2025-04-13,C057,P03,2,Distribuidor
1262,2025-11-03,C116,P01,5,Tienda Física
1263,2025-11-29,C102,P01,1,Sitio Web
1264,2026-01-03,C048,P07,2,Tienda Física
1265,2025-09-08,C068,P07,3,Distribuidor
1266,2025-07-04,C022,P03,2,Tienda Física
1267,2026-01-27,C080,P11,2,Tienda Física
1268,2026-05-25,C117,P10,2,Tienda Física
1269,2025-08-26,C060,P11,1,Sitio Web
1270,2026-04-16,C033,P11,1,Tienda Física
1271,2026-04-22,C116,P05,3,Distribuidor
1272,2026-07-14,C021,P02,3,Sitio Web
1273,2025-12-20,C076,P05,3,Distribuidor
1274,2026-03-11,C089,P05,4,Sitio Web
1275,2025-11-06,C026,P07,2,Sitio Web
1276,2025-04-20,C031,P07,2,Distribuidor
1277,2026-01-03,C074,P05,3,Distribuidor
1278,2025-10-30,C003,P14,2,Distribuidor
1279,2026-02-10,C036,P01,2,Distribuidor
1280,2025-02-20,C117,P10,3,Distribuidor
1281,2026-05-24,C107,P15,3,Sitio Web
1282,2025-08-24,C078,P13,1,Sitio Web
1283,2025-08-13,C082,P04,1,Distribuidor
1284,2025-09-14,C087,P13,1,Distribuidor
1285,2025-05-21,C081,P02,2,Distribuidor
1286,2025-02-10,C040,P13,1,Sitio Web
1287,2025-02-04,C075,P06,1,Distribuidor
1288,2025-05-15,C012,P15,2,Sitio Web
1289,2025-12-01,C096,P07,1,Tienda Física
1290,2025-07-25,C017,P13,2,Distribuidor
1291,2026-01-10,C068,P09,1,Sitio Web
1292,2025-06-18,C033,P15,1,Sitio Web
1293,2025-10-30,C096,P14,3,Sitio Web
1294,2025-04-28,C060,P02,1,Tienda Física
1295,2025-08-20,C111,P11,1,Distribuidor
1296,2026-02-11,C109,P13,2,Distribuidor
1297,2026-01-10,C012,P13,3,Sitio Web
1298,2025-01-15,C034,P09,1,Tienda Física
1299,2026-04-11,C048,P11,2,Distribuidor
1300,2025-09-26,C075,P07,1,Distribuidor
1301,2026-01-16,C014,P11,1,Tienda Física
1302,2026-04-28,C004,P10,2,Distribuidor
1303,2025-12-02,C118,P10,2,Tienda Física
1304,2025-03-06,C082,P14,2,Sitio Web
1305,2025-11-06,C084,P07,2,Tienda Física
1306,2025-05-24,C006,P01,5,Sitio Web
1307,2026-05-20,C015,P02,2,Tienda Física
1308,2026-07-05,C018,P07,1,Sitio Web
1309,2026-01-15,C086,P12,3,Distribuidor
1310,2026-07-08,C054,P10,1,Distribuidor
1311,2025-06-08,C114,P07,1,Distribuidor
1312,2025-04-12,C107,P08,1,Distribuidor
1313,2026-02-22,C036,P01,1,Distribuidor
1314,2026-01-15,C028,P08,4,Sitio Web
1315,2025-08-30,C110,P06,3,Tienda Física
1316,2026-01-12,C070,P15,2,Distribuidor
1317,2026-01-03,C008,P07,1,Sitio Web
1318,2025-07-14,C016,P14,1,Sitio Web
1319,2025-04-04,C085,P04,1,Distribuidor
1320,2025-01-22,C007,P13,1,Sitio Web
1321,2025-09-07,C017,P13,2,Distribuidor
1322,2025-07-30,C009,P14,2,Distribuidor
1323,2025-08-01,C076,P04,2,Tienda Física
1324,2025-12-03,C100,P03,1,Distribuidor
1325,2025-01-03,C036,P14,4,Tienda Física
1326,2025-05-14,C070,P05,2,Tienda Física
1327,2025-04-23,C085,P14,2,Tienda Física
1328,2025-05-15,C002,P06,2,Tienda Física
1329,2025-11-28,C003,P03,1,Sitio Web
1330,2025-02-23,C017,P12,1,Sitio Web
1331,2026-06-23,C015,P12,1,Tienda Física
1332,2026-05-03,C058,P13,3,Sitio Web
1333,2026-06-10,C076,P02,1,Sitio Web
1334,2026-05-31,C029,P10,1,Tienda Física
1335,2026-06-18,C039,P08,1,Distribuidor
1336,2025-02-01,C008,P08,1,Sitio Web
1337,2026-03-13,C088,P02,3,Sitio Web
1338,2026-03-31,C010,P15,2,Tienda Física
1339,2025-11-26,C078,P03,1,Tienda Física
1340,2025-05-10,C036,P10,1,Distribuidor
1341,2026-08-23,C071,P12,1,Sitio Web
1342,2026-01-26,C077,P09,1,Sitio Web
1343,2026-04-10,C065,P10,1,Sitio Web
1344,2025-04-12,C102,P12,1,Tienda Física
1345,2026-07-19,C093,P14,1,Tienda Física
1346,2026-03-17,C058,P15,2,Tienda Física
1347,2026-02-28,C044,P14,2,Sitio Web
1348,2026-02-13,C054,P12,1,Tienda Física
1349,2025-11-17,C055,P06,1,Distribuidor
1350,2025-09-19,C048,P03,2,Distribuidor
1351,2026-05-01,C009,P02,2,Tienda Física
1352,2025-04-06,C056,P02,3,Distribuidor
1353,2026-01-17,C104,P03,2,Distribuidor
1354,2025-03-03,C076,P09,1,Distribuidor
1355,2025-12-04,C086,P02,1,Sitio Web
1356,2025-12-29,C112,P11,2,Sitio Web
1357,2025-02-22,C037,P10,1,Sitio Web
1358,2025-12-27,C014,P10,2,Distribuidor
1359,2025-08-06,C020,P11,4,Sitio Web
1360,2025-08-18,C109,P02,2,Sitio Web
1361,2026-07-24,C048,P02,1,Sitio Web
1362,2026-08-11,C029,P13,2,Sitio Web
1363,2026-07-29,C099,P14,1,Distribuidor
1364,2026-07-25,C004,P10,2,Distribuidor
1365,2025-10-01,C004,P03,4,Sitio Web
1366,2025-11-13,C118,P06,1,Sitio Web
1367,2025-01-07,C024,P14,4,Tienda Física
1368,2026-08-03,C085,P07,4,Tienda Física
1369,2025-05-26,C095,P11,1,Tienda Física
1370,2025-04-04,C096,P09,1,Tienda Física
1371,2026-01-21,C054,P08,1,Sitio Web
1372,2025-06-11,C048,P05,1,Distribuidor
1373,2025-11-29,C100,P10,1,Distribuidor
1374,2025-03-28,C114,P01,2,Tienda Física
1375,2025-06-11,C097,P10,1,Tienda Física
1376,2025-03-25,C035,P08,1,Distribuidor
1377,2026-03-11,C063,P10,3,Sitio Web
1378,2026-03-01,C035,P04,1,Distribuidor
1379,2025-04-27,C045,P07,3,Tienda Física
1380,2025-10-18,C087,P11,1,Distribuidor
1381,2026-05-14,C068,P11,1,Sitio Web
1382,2025-02-16,C029,P07,2,Distribuidor
1383,2025-02-26,C001,P04,2,Sitio Web
1384,2025-08-05,C099,P03,3,Sitio Web
1385,2025-10-24,C042,P02,2,Tienda Física
1386,2026-05-25,C096,P07,3,Tienda Física
1387,2025-05-13,C049,P09,1,Distribuidor
1388,2025-08-24,C065,P09,1,Distribuidor
1389,2025-12-29,C010,P07,3,Distribuidor
1390,2025-02-13,C056,P01,3,Sitio Web
1391,2025-03-21,C111,P06,5,Distribuidor
1392,2026-03-16,C074,P07,1,Distribuidor
1393,2026-03-04,C038,P02,1,Sitio Web
1394,2025-01-22,C042,P03,3,Distribuidor
1395,2026-04-17,C107,P12,1,Sitio Web
1396,2025-04-01,C056,P14,4,Tienda Física
1397,2025-09-07,C056,P10,3,Sitio Web
1398,2026-06-21,C011,P07,1,Sitio Web
1399,2025-12-14,C029,P06,3,Tienda Física
1400,2025-03-20,C066,P11,3,Tienda Física
1401,2026-06-28,C066,P04,1,Sitio Web
1402,2025-12-26,C094,P14,4,Distribuidor
1403,2025-06-01,C031,P02,2,Tienda Física
1404,2025-09-20,C026,P03,3,Distribuidor
1405,2025-06-06,C098,P13,1,Distribuidor
1406,2025-03-19,C023,P13,3,Distribuidor
1407,2026-05-21,C060,P13,1,Distribuidor
1408,2026-08-17,C058,P11,1,Distribuidor
1409,2025-11-27,C111,P11,4,Sitio Web
1410,2025-06-04,C057,P02,1,Sitio Web
1411,2026-03-29,C081,P05,1,Sitio Web
1412,2025-02-27,C046,P09,4,Tienda Física
1413,2025-11-14,C060,P08,4,Tienda Física
1414,2025-02-28,C048,P14,2,Sitio Web
1415,2025-03-20,C083,P14,2,Tienda Física
1416,2026-06-04,C050,P08,1,Distribuidor
1417,2026-07-22,C102,P12,1,Tienda Física
1418,2026-04-06,C117,P13,1,Distribuidor
1419,2025-07-12,C042,P10,2,Sitio Web
1420,2026-05-29,C020,P01,3,Sitio Web
1421,2025-04-16,C104,P15,3,Sitio Web
1422,2025-03-28,C065,P11,3,Tienda Física
1423,2025-02-10,C032,P12,1,Sitio Web
1424,2026-03-26,C068,P09,1,Distribuidor
1425,2025-06-12,C047,P06,1,Sitio Web
1426,2026-02-01,C053,P13,2,Sitio Web
1427,2025-02-23,C102,P11,1,Distribuidor
1428,2025-12-09,C009,P06,3,Tienda Física
1429,2026-07-26,C087,P07,1,Sitio Web
1430,2025-09-16,C093,P14,1,Distribuidor
1431,2025-06-03,C043,P02,1,Distribuidor
1432,2025-05-25,C118,P06,3,Sitio Web
1433,2026-02-06,C017,P10,2,Distribuidor
1434,2025-03-28,C040,P09,1,Sitio Web
1435,2025-12-03,C105,P03,1,Distribuidor
1436,2026-06-24,C012,P11,2,Distribuidor
1437,2026-03-10,C066,P06,1,Tienda Física
1438,2026-01-07,C040,P03,3,Tienda Física
1439,2025-12-16,C099,P08,2,Tienda Física
1440,2025-08-20,C018,P03,1,Tienda Física
1441,2025-10-30,C109,P13,1,Tienda Física
1442,2026-06-04,C099,P09,5,Distribuidor
1443,2026-06-24,C005,P11,1,Sitio Web
1444,2025-05-15,C077,P07,1,Tienda Física
1445,2025-06-16,C024,P14,3,Distribuidor
1446,2025-06-19,C093,P08,4,Tienda Física
1447,2026-02-25,C047,P11,5,Distribuidor
1448,2025-09-01,C057,P10,3,Sitio Web
1449,2026-04-05,C030,P09,1,Tienda Física
1450,2025-11-13,C104,P13,1,Sitio Web
1451,2025-07-18,C048,P11,3,Distribuidor
1452,2026-03-28,C060,P13,2,Sitio Web
1453,2026-01-27,C065,P09,1,Sitio Web
1454,2025-06-15,C105,P04,4,Distribuidor
1455,2025-05-22,C112,P05,1,Tienda Física
1456,2026-05-08,C112,P06,1,Distribuidor
1457,2025-04-16,C092,P14,1,Distribuidor
1458,2025-05-08,C037,P02,1,Tienda Física
1459,2025-10-07,C058,P15,1,Distribuidor
1460,2025-05-31,C107,P07,1,Tienda Física
1461,2025-08-16,C105,P08,1,Sitio Web
1462,2025-01-28,C054,P01,2,Sitio Web
1463,2026-05-30,C048,P04,2,Sitio Web
1464,2025-03-25,C048,P04,2,Tienda Física
1465,2025-11-23,C120,P02,4,Distribuidor
1466,2025-12-10,C102,P03,1,Tienda Física
1467,2025-02-09,C037,P15,1,Sitio Web
1468,2025-05-23,C098,P12,3,Sitio Web
1469,2026-04-05,C079,P01,1,Tienda Física
1470,2025-01-20,C033,P04,4,Tienda Física
1471,2026-07-16,C094,P10,1,Distribuidor
1472,2026-03-10,C015,P13,4,Sitio Web
1473,2025-09-01,C039,P02,1,Tienda Física
1474,2025-09-02,C054,P11,3,Distribuidor
1475,2026-04-14,C009,P02,2,Sitio Web
1476,2026-07-03,C003,P11,5,Distribuidor
1477,2026-08-12,C031,P12,1,Tienda Física
1478,2025-10-26,C055,P01,2,Distribuidor
1479,2025-12-28,C031,P10,4,Sitio Web
1480,2025-07-11,C086,P11,2,Tienda Física
1481,2026-06-21,C047,P02,2,Distribuidor
1482,2026-07-12,C065,P13,2,Distribuidor
1483,2026-07-22,C003,P07,1,Sitio Web
1484,2025-02-14,C082,P07,2,Sitio Web
1485,2025-09-17,C096,P01,2,Sitio Web
1486,2025-03-11,C045,P04,4,Distribuidor
1487,2025-04-17,C099,P10,1,Distribuidor
1488,2025-12-07,C018,P01,1,Sitio Web
1489,2026-07-14,C044,P14,4,Distribuidor
1490,2025-06-29,C107,P13,3,Distribuidor
1491,2026-04-21,C090,P08,1,Distribuidor
1492,2025-07-06,C104,P03,2,Tienda Física
1493,2026-04-14,C005,P05,1,Tienda Física
1494,2025-02-14,C102,P04,1,Tienda Física
1495,2025-11-20,C120,P05,1,Distribuidor
1496,2026-02-12,C105,P09,1,Sitio Web
1497,2025-09-17,C005,P13,2,Distribuidor
1498,2025-07-15,C037,P06,1,Tienda Física
1499,2025-12-06,C035,P02,5,Sitio Web
1500,2026-03-24,C114,P07,5,Distribuidor
1501,2026-03-27,C115,P07,2,Sitio Web
1502,2025-07-11,C064,P12,2,Sitio Web
1503,2026-01-12,C119,P13,1,Distribuidor
1504,2025-10-01,C103,P02,3,Distribuidor
1505,2026-03-11,C011,P07,2,Distribuidor
1506,2025-07-04,C070,P05,1,Sitio Web
1507,2025-04-16,C011,P06,4,Distribuidor
1508,2025-10-30,C040,P08,3,Distribuidor
1509,2026-03-13,C022,P12,4,Sitio Web
1510,2025-12-26,C058,P01,2,Distribuidor
1511,2025-12-28,C079,P07,2,Sitio Web
1512,2025-02-28,C010,P11,1,Distribuidor
1513,2026-02-20,C047,P09,4,Distribuidor
1514,2025-06-13,C004,P03,3,Distribuidor
1515,2026-03-25,C005,P03,1,Tienda Física
1516,2025-08-30,C100,P11,1,Sitio Web
1517,2026-01-06,C050,P10,1,Tienda Física
1518,2025-06-07,C087,P08,3,Sitio Web
1519,2026-01-16,C057,P13,5,Tienda Física
1520,2026-08-11,C018,P09,1,Sitio Web
1521,2026-02-12,C041,P11,2,Sitio Web
1522,2025-09-13,C015,P01,1,Distribuidor
1523,2025-07-10,C064,P09,4,Sitio Web
1524,2026-07-30,C016,P05,3,Sitio Web
1525,2026-04-02,C028,P10,3,Sitio Web
1526,2026-05-18,C026,P02,1,Tienda Física
1527,2025-03-17,C058,P03,1,Distribuidor
1528,2026-04-01,C012,P13,1,Distribuidor
1529,2025-11-24,C086,P06,1,Distribuidor
1530,2025-03-08,C071,P09,3,Sitio Web
1531,2025-11-04,C109,P03,3,Distribuidor
1532,2025-06-28,C102,P06,5,Distribuidor
1533,2025-08-18,C016,P04,5,Tienda Física
1534,2025-08-31,C102,P08,2,Tienda Física
1535,2026-01-05,C071,P10,3,Sitio Web
1536,2026-04-24,C103,P09,4,Tienda Física
1537,2025-03-30,C009,P05,3,Sitio Web
1538,2026-05-06,C068,P07,1,Sitio Web
1539,2026-08-12,C010,P03,1,Sitio Web
1540,2025-03-17,C058,P08,1,Distribuidor
1541,2026-06-14,C045,P03,4,Distribuidor
1542,2025-07-06,C099,P03,2,Sitio Web
1543,2026-05-30,C117,P14,1,Tienda Física
1544,2025-05-08,C067,P03,2,Sitio Web
1545,2025-06-18,C021,P06,2,Distribuidor
1546,2025-08-19,C045,P09,1,Sitio Web
1547,2025-03-22,C033,P04,1,Distribuidor
1548,2026-07-19,C036,P03,2,Distribuidor
1549,2025-11-07,C079,P09,2,Tienda Física
1550,2026-05-30,C083,P03,3,Distribuidor
1551,2026-08-18,C020,P03,2,Distribuidor
1552,2025-12-12,C108,P15,3,Distribuidor
1553,2025-02-12,C106,P14,2,Tienda Física
1554,2025-03-25,C006,P11,2,Distribuidor
1555,2025-09-29,C084,P04,3,Distribuidor
1556,2026-03-03,C080,P11,1,Tienda Física
